,Driver,Name_x,URL_x,Year_x,Race_Result,DNG_Reason,Match,Unnamed: 0,Serial,URL_y,Name_y,Year_y
65,Sébastien Loeb,Rally d'Italia Sardegna,/entryinfo/393-rally-ditalia-sardegna-2009/32496/,2009,4,Null,393-rally-ditalia-sardegna-2009,140.0,141.0,/final/393-rally-ditalia-sardegna-2009/,393-rally-ditalia-sardegna-2009,2009.0
646,Mikko Hirvonen,Rally d'Italia Sardegna,/entryinfo/393-rally-ditalia-sardegna-2009/32498/,2009,2,Null,393-rally-ditalia-sardegna-2009,140.0,141.0,/final/393-rally-ditalia-sardegna-2009/,393-rally-ditalia-sardegna-2009,2009.0
336,Sébastien Ogier,Rally d'Italia Sardegna,/entryinfo/393-rally-ditalia-sardegna-2009/32506/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Retired                            </div>",393-rally-ditalia-sardegna-2009,140.0,141.0,/final/393-rally-ditalia-sardegna-2009/,393-rally-ditalia-sardegna-2009,2009.0
64,Sébastien Loeb,Acropolis Rally of Greece,/entryinfo/394-acropolis-rally-of-greece-2009/32826/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Accident                            </div>",394-acropolis-rally-of-greece-2009,141.0,142.0,/final/394-acropolis-rally-of-greece-2009/,394-acropolis-rally-of-greece-2009,2009.0
645,Mikko Hirvonen,Acropolis Rally of Greece,/entryinfo/394-acropolis-rally-of-greece-2009/32828/,2009,1,Null,394-acropolis-rally-of-greece-2009,141.0,142.0,/final/394-acropolis-rally-of-greece-2009/,394-acropolis-rally-of-greece-2009,2009.0
335,Sébastien Ogier,Acropolis Rally of Greece,/entryinfo/394-acropolis-rally-of-greece-2009/32836/,2009,2,Null,394-acropolis-rally-of-greece-2009,141.0,142.0,/final/394-acropolis-rally-of-greece-2009/,394-acropolis-rally-of-greece-2009,2009.0
644,Mikko Hirvonen,Orlen Platinum Rally Poland - Rajd Polski,/entryinfo/395-orlen-platinum-rally-poland-rajd-polski-2009/33718/,2009,1,Null,395-orlen-platinum-rally-poland-rajd-polski-2009,142.0,143.0,/final/395-orlen-platinum-rally-poland-rajd-polski-2009/,395-orlen-platinum-rally-poland-rajd-polski-2009,2009.0
63,Sébastien Loeb,Orlen Platinum Rally Poland - Rajd Polski,/entryinfo/395-orlen-platinum-rally-poland-rajd-polski-2009/33716/,2009,7,Null,395-orlen-platinum-rally-poland-rajd-polski-2009,142.0,143.0,/final/395-orlen-platinum-rally-poland-rajd-polski-2009/,395-orlen-platinum-rally-poland-rajd-polski-2009,2009.0
334,Sébastien Ogier,Orlen Platinum Rally Poland - Rajd Polski,/entryinfo/395-orlen-platinum-rally-poland-rajd-polski-2009/33725/,2009,DNF,"<div class=""profile-start-ret text-danger font-weight-bold"">
                                Engine                            </div>",395-orlen-platinum-rally-poland-rajd-polski-2009,142.0,143.0,/final/395-orlen-platinum-rally-poland-rajd-polski-2009/,395-orlen-platinum-rally-poland-rajd-polski-2009,2009.0
333,Sébastien Ogier,Neste Oil Rally Finland,/entryinfo/396-neste-oil-rally-finland-2009/35399/,2009,6,Null,396-neste-oil-rally-finland-2009,143.0,144.0,/final/396-neste-oil-rally-finland-2009/,396-neste-oil-rally-finland-2009,2009.0
