Driver,Serial,Race_Result
Elfyn Evans,310.0,4.0
Mikko Hirvonen,310.0,
Ott Tänak,310.0,5.0
Sébastien Loeb,310.0,
Sébastien Ogier,310.0,1.0
Thierry Neuville,310.0,3.0
Tommi Mäkinen,310.0,
Carlos Sainz,311.0,
Colin McRae,311.0,
Elfyn Evans,311.0,5.0
Mikko Hirvonen,311.0,
Ott Tänak,311.0,1.0
Sébastien Loeb,311.0,
Sébastien Ogier,311.0,
Thierry Neuville,311.0,3.0
Tommi Mäkinen,311.0,
