Driver,Serial,Race_Result
Sébastien Loeb,100.0,1.0
Sébastien Ogier,100.0,
Thierry Neuville,100.0,
Tommi Mäkinen,100.0,
Carlos Sainz,101.0,
Colin McRae,101.0,
Elfyn Evans,101.0,
Mikko Hirvonen,101.0,2.0
Ott Tänak,101.0,
Sébastien Loeb,101.0,
Sébastien Ogier,101.0,
Thierry Neuville,101.0,
Tommi Mäkinen,101.0,
Carlos Sainz,102.0,
Colin McRae,102.0,
Elfyn Evans,102.0,
Mikko Hirvonen,102.0,1.0
Ott Tänak,102.0,
Sébastien Loeb,102.0,
Sébastien Ogier,102.0,
Thierry Neuville,102.0,
Tommi Mäkinen,102.0,
Carlos Sainz,103.0,
Colin McRae,103.0,
Elfyn Evans,103.0,
Mikko Hirvonen,103.0,2.0
Ott Tänak,103.0,
Sébastien Loeb,103.0,
Sébastien Ogier,103.0,
Thierry Neuville,103.0,
Tommi Mäkinen,103.0,
Carlos Sainz,105.0,
Colin McRae,105.0,
Elfyn Evans,105.0,
Mikko Hirvonen,105.0,5.0
Ott Tänak,105.0,
Sébastien Loeb,105.0,1.0
Sébastien Ogier,105.0,
Thierry Neuville,105.0,
Tommi Mäkinen,105.0,
Carlos Sainz,106.0,
Colin McRae,106.0,
Elfyn Evans,106.0,
Mikko Hirvonen,106.0,3.0
Ott Tänak,106.0,
Sébastien Loeb,106.0,2.0
Sébastien Ogier,106.0,
Thierry Neuville,106.0,
Tommi Mäkinen,106.0,
Carlos Sainz,107.0,
Colin McRae,107.0,
Elfyn Evans,107.0,
Mikko Hirvonen,107.0,1.0
Ott Tänak,107.0,
Sébastien Loeb,107.0,1.0
Sébastien Ogier,107.0,
Thierry Neuville,107.0,
Tommi Mäkinen,107.0,
Carlos Sainz,108.0,
Colin McRae,108.0,
Elfyn Evans,108.0,
Mikko Hirvonen,108.0,3.0
Ott Tänak,108.0,
